ApprovalDate,Name,City,State,Zip,Bank,BankState,Term,NoEmp,RevLineCr,GrAppv,SBA_Appv
2014-01-03,"Sudol Paving & Excavation, Inc",Danville,PA,17821,MANUFACTURERS & TRADERS TR CO,NY,6,11,N,"$40,000.00 ","$20,000.00 "
2014-01-06,"JDK Energy, LLC",WINDSOR,CO,80550,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,Y,"$20,000.00 ","$10,000.00 "
2014-01-06,"The Wine Seller, Inc.",RIDGEWOOD,NJ,7450,NOAH BANK,NJ,120,9,N,"$350,000.00 ","$262,500.00 "
2014-01-06,"K.G.C. Technologies, LLC",San Diego,CA,92123,CALIFORNIA BANK & TRUST,CA,60,7,N,"$17,000.00 ","$8,500.00 "
2014-01-06,SAVOREE LLC,WINTER GARDEN,FL,34787,JPMORGAN CHASE BANK NATL ASSOC,IL,84,2,N,"$25,000.00 ","$12,500.00 "
2014-01-07,WARAXA LLC,WEST SALEM,WI,54669,MERCHANTS BANK NATL ASSOC,MN,6,15,Y,"$350,000.00 ","$262,500.00 "
2014-01-07,Tade Plumbing Inc.,WICHITA,KS,67211,"UMB BANK, NATIONAL ASSOCIATION",MO,15,23,N,"$10,966.00 ","$5,483.00 "
2014-01-08,"BISSELL PAINTING, INC.",Jenison,MI,49428,THE HUNTINGTON NATIONAL BANK,OH,60,4,N,"$12,700.00 ","$6,350.00 "
2014-01-08,Drew Corporation,CENTER LOVELL,ME,4016,NORWAY SAVINGS BANK,ME,24,10,N,"$25,500.00 ","$12,750.00 "
2014-01-09,Nelson Specialized Investigati,IRVINE,CA,92620,JPMORGAN CHASE BANK NATL ASSOC,IL,84,3,Y,"$50,000.00 ","$25,000.00 "
2014-01-09,"Amulet Manufacturing Company,",RATHDRUM,ID,83858,AMERICANWEST BANK,WA,87,14,N,"$150,000.00 ","$127,500.00 "
2014-01-10,"John Kenyon Trucking, Inc.",STANLEY,NY,14561,FIVE STAR BANK,NY,12,9,N,"$20,000.00 ","$10,000.00 "
2014-01-10,Drew Corporation,CENTER LOVELL,ME,4016,NORWAY SAVINGS BANK,ME,6,10,N,"$50,000.00 ","$25,000.00 "
2014-01-10,"KOI FUSION, INC.",PORTLAND,OR,97224,JPMORGAN CHASE BANK NATL ASSOC,IL,84,50,N,"$25,000.00 ","$12,500.00 "
2014-01-13,Timothy E Esken,Pittsburgh,PA,15236,FIRST NIAGARA BANK NATL ASSOC,NY,60,1,Y,"$130,000.00 ","$65,000.00 "
2014-01-13,RELIANT FAMILY HEALTH INC,MAYNARDVILLE,TN,37807,COMMERCIAL BANK,TN,72,4,Y,"$25,000.00 ","$12,500.00 "
2014-01-13,Gosta Frantz,Gibsonia,PA,15044,FIRST NIAGARA BANK NATL ASSOC,NY,60,1,Y,"$50,000.00 ","$25,000.00 "
2014-01-14,"BRIDGE REPS, LLC",NEW YORK,NY,10014,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,Y,"$25,000.00 ","$12,500.00 "
2014-01-15,"No Coast Reserve, Inc",BLOOMINGTON,IN,47408,OLD NATIONAL BANK,IN,90,0,N,"$195,000.00 ","$146,250.00 "
2014-01-15,Timothy W Hoover II dba Timoth,London,OH,43140,THE HUNTINGTON NATIONAL BANK,OH,60,0,N,"$17,400.00 ","$8,700.00 "
2014-01-16,"Paul Bebble & Associates, Inc.",JUPITER,FL,33458,JPMORGAN CHASE BANK NATL ASSOC,IL,60,4,N,"$17,900.00 ","$8,950.00 "
2014-01-16,"Pat Alaska, LLC",Pataskala,OH,43062,THE HUNTINGTON NATIONAL BANK,OH,60,0,Y,"$20,000.00 ","$10,000.00 "
2014-01-17,Timmaj Inc.,DES PLAINES,IL,60018,JPMORGAN CHASE BANK NATL ASSOC,IL,72,2,N,"$42,500.00 ","$21,250.00 "
2014-01-20,"Pinnacle Pizza, LLC",Franklin,TN,37067,AMER BUS. LENDING INC.,TX,123,2,N,"$312,000.00 ","$234,000.00 "
2014-01-21,TOPLINE COUNTERS LLC,SUMNER,WA,98390,CELTIC BANK CORPORATION,UT,120,55,N,"$150,000.00 ","$135,000.00 "
2014-01-21,D K Marks LLC,ELMIRA,NY,14901,ELMIRA SAVINGS BANK,NY,3,21,N,"$25,000.00 ","$12,500.00 "
2014-01-21,OLD DAWG INC,NASHVILLE,TN,37214,U.S. BANK NATIONAL ASSOCIATION,OH,24,10,N,"$30,000.00 ","$15,000.00 "
2014-01-22,Michael Correll dba Red Eye Ex,Newark,OH,43055,THE HUNTINGTON NATIONAL BANK,OH,60,0,Y,"$50,000.00 ","$25,000.00 "
2014-01-22,"MEA TV & Radio, LLC",SOUTHFIELD,MI,48034,CELTIC BANK CORPORATION,UT,120,10,N,"$100,000.00 ","$85,000.00 "
2014-01-22,"J A Oilfield Rentals, Inc.",ENID,OK,73703,CENTRAL NATL BK & TR CO OF ENI,OK,36,2,N,"$162,900.00 ","$81,450.00 "
2014-01-22,"NEW WAVE SUBS, LLC",RIVERTON,UT,84065,ZIONS FIRST NATIONAL BANK,UT,66,7,N,"$15,000.00 ","$7,500.00 "
2014-01-23,"Darden Enterprises, LLC",KELLER,TX,76248,JPMORGAN CHASE BANK NATL ASSOC,IL,84,3,Y,"$65,000.00 ","$32,500.00 "
2014-01-23,"Virginia Pain Solutions, LLC",MECHANICSVILLE,VA,23116,EVB,VA,13,10,Y,"$20,000.00 ","$10,000.00 "
2014-01-24,Schauls Gas Inc.,DURAND,WI,54736,SECURITY FINANCIAL BANK,WI,9,12,N,"$150,000.00 ","$75,000.00 "
2014-01-27,PROLIFT EQUIPMENT INC.,DALLAS,TX,75229,JPMORGAN CHASE BANK NATL ASSOC,IL,84,7,Y,"$150,000.00 ","$75,000.00 "
2014-01-28,"Cohen & Associates, P.C.",Salem,MA,1970,EASTERN BANK,MA,60,15,N,"$70,000.00 ","$35,000.00 "
2014-01-30,THE DOUGHNUT HOLE LLC,BURNS,OR,97720,U.S. BANK NATIONAL ASSOCIATION,OH,84,3,Y,"$10,000.00 ","$5,000.00 "
2014-01-31,Mariano Painting & Wallcoverin,AIEA,HI,96701,"AMERICAN SAVINGS BANK, FSB",HI,6,3,N,"$75,000.00 ","$37,500.00 "
2014-01-31,TS CONSTRUCTION,RIVERTON,WY,82501,U.S. BANK NATIONAL ASSOCIATION,OH,84,1,Y,"$20,000.00 ","$10,000.00 "
2014-02-04,"T & D Real Estate Holdings, LL",FORT KENT,ME,4743,NORSTATE FCU,ME,60,2,N,"$17,000.00 ","$8,500.00 "
2014-02-04,Oktyabr Rojkov dba Oktyabr Roj,Southfield,MI,48034,THE HUNTINGTON NATIONAL BANK,OH,60,2,N,"$51,300.00 ","$25,650.00 "
2014-02-04,"Elan Express, LLC",Strongsville,OH,44136,THE HUNTINGTON NATIONAL BANK,OH,36,0,N,"$9,400.00 ","$4,700.00 "
2014-02-05,"East Washington Liquor, Inc",MADISON,WI,53714,BANK OF LAKE MILLS,WI,84,4,N,"$80,000.00 ","$40,000.00 "
2014-02-07,Pao Thao,Pierce City,MO,65723,FIRST FINANCIAL BANK,AR,12,2,N,"$23,800.00 ","$11,900.00 "
2014-02-07,"MARIA ZAGORSKI, LLC",Monroe,MI,48161,THE HUNTINGTON NATIONAL BANK,OH,60,0,Y,"$25,000.00 ","$12,500.00 "
2014-02-07,INFOTECH HEALTHCARE LLC,FRANKLIN,TN,37064,U.S. BANK NATIONAL ASSOCIATION,OH,84,3,Y,"$26,000.00 ","$13,000.00 "
2014-02-07,Malakai Sparks Realty,HUNTINGTON BEACH,CA,92648,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,N,"$10,000.00 ","$5,000.00 "
2014-02-10,Advanced Medical Billing & Man,Elkins Park,PA,19027,"TD BANK, NATIONAL ASSOCIATION",DE,84,12,Y,"$25,000.00 ","$12,500.00 "
2014-02-10,"Apex Mechanical, Inc",SAN JOSE,CA,95131,WELLS FARGO BANK NATL ASSOC,SD,120,8,N,"$246,400.00 ","$184,800.00 "
2014-02-11,The Challenge Machinery Compan,MUSKEGON,MI,49441,JPMORGAN CHASE BANK NATL ASSOC,IL,66,33,N,"$70,100.00 ","$35,050.00 "
2014-02-12,TENAFLY READING TOWN INC,TENAFLY,NJ,7670,JPMORGAN CHASE BANK NATL ASSOC,IL,84,5,Y,"$25,000.00 ","$12,500.00 "
2014-02-12,"HealthStyles Holding, LLC",DENVER,CO,80204,U.S. BANK NATIONAL ASSOCIATION,OH,84,37,Y,"$200,000.00 ","$100,000.00 "
2014-02-13,Rachel Rose Design,BROOKLYN,NY,11231,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,N,"$40,000.00 ","$20,000.00 "
2014-02-13,Don's Quick Stop LLC,Columbus,OH,43206,THE HUNTINGTON NATIONAL BANK,OH,63,1,N,"$24,000.00 ","$12,000.00 "
2014-02-14,S D Trucking Inc.,MISHAWAKA,IN,46545,1ST SOURCE BANK,IN,48,1,N,"$20,000.00 ","$10,000.00 "
2014-02-18,WISEMAN CONSTRUCTION,ROSEVILLE,OH,43777,U.S. BANK NATIONAL ASSOCIATION,OH,84,1,Y,"$20,000.00 ","$10,000.00 "
2014-02-18,VIP Concierge Inc.,BROOKLYN,NY,11205,JPMORGAN CHASE BANK NATL ASSOC,IL,84,107,Y,"$100,000.00 ","$50,000.00 "
2014-02-19,"Trusted Health Care, Inc.",Dayton,OH,45459,OLD NATIONAL BANK,IN,114,24,N,"$800,000.00 ","$600,000.00 "
2014-02-19,ADAM XIONG NETWORK MARKETING,SACRAMENTO,CA,95838,WELLS FARGO BANK NATL ASSOC,SD,84,1,Y,"$10,000.00 ","$5,000.00 "
2014-02-19,Windham Farms,BAY SPRINGS,MS,39422,FIRST FINANCIAL BANK,AR,12,2,N,"$15,500.00 ","$7,750.00 "
2014-02-20,INTERNATIONAL CAMERA ACCESSORI,PORTLAND,OR,97211,U.S. BANK NATIONAL ASSOCIATION,OH,84,3,Y,"$25,000.00 ","$12,500.00 "
2014-02-20,On Call Pavement Sweeping Inc,ELK RIVER,MN,55330,SECURITY BANK MINNESOTA,MN,84,4,Y,"$50,000.00 ","$25,000.00 "
2014-02-21,OLGA NEFEDOVA DDS INC,ROCKLIN,CA,95765,U.S. BANK NATIONAL ASSOCIATION,OH,84,2,Y,"$25,000.00 ","$12,500.00 "
2014-02-21,"Jeff City Industries, Inc",Jefferson City,MO,65110,HAWTHORN BANK,MO,12,50,Y,"$1,026,600.00 ","$769,950.00 "
2014-02-21,PUMP & SEALING TECHNOLOGY INC,SCHERERVILLE,IN,46375,PEOPLES BANK SB,IN,9,2,Y,"$10,000.00 ","$5,000.00 "
2014-02-24,YOUNGS DELI,FORT WORTH,TX,76126,COMPASS BANK,AL,48,5,N,"$10,000.00 ","$5,000.00 "
2014-02-24,"DAC Entertainment,LLC",Columbia,MO,65202,THE BANK OF MISSOURI,MO,84,11,N,"$51,500.00 ","$43,775.00 "
2014-02-24,The Ateam Oilfield Solutions &,LAREDO,TX,78043,JPMORGAN CHASE BANK NATL ASSOC,IL,84,2,Y,"$30,000.00 ","$15,000.00 "
2014-02-24,"DAC Entertainment,LLC",Columbia,MO,65202,THE BANK OF MISSOURI,MO,24,11,Y,"$20,000.00 ","$10,000.00 "
2014-02-25,D Woodside Trucking,STRAFFORD,NH,3884,NORTHEAST CU,NH,84,1,N,"$78,000.00 ","$39,000.00 "
2014-02-27,"Argos Global Partner Services,",Key Biscayne,FL,33149,"CITIBANK, N.A.",SD,12,14,Y,"$3,000,000.00 ","$2,700,000.00 "
2014-02-27,"Tru Personal Training, LLC",Omaha,NE,68137,ENTERPRISE BANK,NE,24,40,N,"$393,000.00 ","$294,750.00 "
2014-02-27,S H & M INC,COLLINS,MS,39428,COVINGTON COUNTY BANK,MS,4,2,N,"$25,300.00 ","$12,650.00 "
2014-02-28,"New England Yacht Rigging, Inc",EAST GREENWICH,RI,2818,BANKNEWPORT,RI,84,5,N,"$100,000.00 ","$50,000.00 "
2014-02-28,"CLAYTOR LAKE WATERSPORTS, LLC",DUBLIN,VA,24084,UNION FIRST MARKET BANK,VA,60,4,Y,"$25,000.00 ","$12,500.00 "
2014-02-28,Zywiec's Landscape and Garden,COTTAGE GROVE,MN,55016,FIRST NATIONAL BANK,MN,3,16,N,"$30,000.00 ","$15,000.00 "
2014-03-03,"Diva Spa, Inc.",Needham,MA,2492,EASTERN BANK,MA,60,8,N,"$50,000.00 ","$25,000.00 "
2014-03-03,GERB'S TAP OF KENOSHA LLC,KENOSHA,WI,53143,U.S. BANK NATIONAL ASSOCIATION,OH,84,2,Y,"$10,000.00 ","$5,000.00 "
2014-03-05,"SCA Pharmaceuticals, LLC",LITTLE ROCK,AR,72205,ARKANSAS CAPITAL CORPORATION,AR,120,21,N,"$2,800,000.00 ","$2,100,000.00 "
2014-03-06,JTL Group LLC,THOMASTON,CT,6787,THOMASTON SAVINGS BANK,CT,1,0,Y,"$35,000.00 ","$17,500.00 "
2014-03-07,Peke Safety LLC,GAITHERSBURG,MD,20878,MANUFACTURERS & TRADERS TR CO,NY,3,1,N,"$100,000.00 ","$85,000.00 "
2014-03-10,"Atlas Plumbing, LLC",RIDGEFIELD,WA,98642,COLUMBIA COMMUNITY CU,WA,12,8,Y,"$50,000.00 ","$25,000.00 "
2014-03-10,Brooker Painting Inc,Jupiter,FL,33458,THE OCULINA BANK,FL,120,7,N,"$150,000.00 ","$127,500.00 "
2014-03-11,"GBN, INC",GREEN BAY,WI,54304,PIONEER CU,WI,4,26,N,"$50,000.00 ","$25,000.00 "
2014-03-13,"Knopik Crushing, Inc.",INVER GROVE HEIGHTS,MN,55076,ANCHOR BANK NATL ASSOC,MN,6,3,N,"$50,000.00 ","$42,500.00 "
2014-03-13,R.J. MACHADO DE QUEVEDO,ELK GROVE,CA,95624,WELLS FARGO BANK NATL ASSOC,SD,84,1,Y,"$5,000.00 ","$2,500.00 "
2014-03-13,Campbell Central Animal Hospit,CAMPBELL,CA,95008,LIVE OAK BANKING COMPANY,NC,168,12,N,"$75,000.00 ","$63,750.00 "
2014-03-13,"Foji Acupuncture & Herbs, Inc.",ARCADIA,CA,91007,EAST WEST BANK,CA,120,4,N,"$150,000.00 ","$127,500.00 "
2014-03-14,"D & D Mulch and Landscape, Inc",Bellingham,MA,2019,CHARLES RIVER BANK,MA,120,43,N,"$1,250,000.00 ","$937,500.00 "
2014-03-17,"L. Byler Trucking, LLC",Millerburg,OH,44654,THE HUNTINGTON NATIONAL BANK,OH,60,0,N,"$17,700.00 ","$8,850.00 "
2014-03-18,JH Group LLC,PEARL CITY,HI,96782,"AMERICAN SAVINGS BANK, FSB",HI,60,0,N,"$200,000.00 ","$180,000.00 "
2014-03-18,DCS MECHANICAL INC,SAINT CHARLES,IL,60174,U.S. BANK NATIONAL ASSOCIATION,OH,84,8,Y,"$51,000.00 ","$25,500.00 "
2014-03-19,Dennis Philpot,Mena,AR,71953,FIRST FINANCIAL BANK,AR,12,2,N,"$6,600.00 ","$3,300.00 "
2014-03-20,PACIFIC MIND INSTITUTE LLC,MERIDIAN,ID,83646,U.S. BANK NATIONAL ASSOCIATION,OH,60,1,N,"$15,000.00 ","$7,500.00 "
2014-03-21,SMITH DENTAL CARE P.A.,OWATONNA,MN,55060,U.S. BANK NATIONAL ASSOCIATION,OH,84,8,Y,"$200,000.00 ","$100,000.00 "
2014-03-26,SKMO ENTERPRISES PLLC,SAN ANTONIO,TX,78258,COMPASS BANK,AL,84,1,N,"$194,400.00 ","$97,200.00 "
2014-03-26,"KIM CHEE RESTAURANT #7, LLC",AIEA,HI,96701,CENTRAL PACIFIC BANK,HI,60,8,N,"$50,000.00 ","$25,000.00 "
2014-03-27,"Ralph L. Osgood, Inc.",CLAREMONT,NH,3743,MASCOMA SAVINGS BANK,VT,6,18,N,"$100,000.00 ","$85,000.00 "
2014-03-28,"Carolina Foothills Studio, LLC",GREENVILLE,SC,29607,BANK OF TRAVELERS REST,SC,60,23,Y,"$150,000.00 ","$75,000.00 "
2014-03-28,"Kevin's Auto Parts, Inc",Fall River,MA,2721,BANKFIVE,MA,3,20,N,"$50,000.00 ","$25,000.00 "
2014-04-01,KMT ENTERPRISE INC,PAPILLION,NE,68133,U.S. BANK NATIONAL ASSOCIATION,OH,36,2,N,"$10,000.00 ","$5,000.00 "
2014-04-07,"WATERPROOF DRUG, INC.",FERRIDAY,LA,71334,FIRST FINANCIAL BANK,AR,120,14,N,"$1,185,000.00 ","$888,750.00 "
2014-04-08,BUILDING IDEAS AND GENERAL CON,BEREA,OH,44017,U.S. BANK NATIONAL ASSOCIATION,OH,84,4,Y,"$25,000.00 ","$12,500.00 "
2014-04-09,Jeffrey LaHuis DVM PC,SAULT SAINTE MARIE,MI,49783,OLD MISSION BANK,MI,24,10,Y,"$50,000.00 ","$25,000.00 "
2014-04-14,"ATI, Inc.",Columbia,MD,21045,MANUFACTURERS & TRADERS TR CO,NY,84,20,Y,"$300,000.00 ","$150,000.00 "
2014-04-15,"AES - Scout & Recruit, LLC",Webster,NY,14580,MANUFACTURERS & TRADERS TR CO,NY,60,3,N,"$50,000.00 ","$25,000.00 "
2014-04-21,Hugo & Bramschreiber Asphalt C,Little Suamico,WI,54141,ASSOCIATED BANK NATL ASSOC,WI,84,7,Y,"$150,000.00 ","$75,000.00 "
2014-04-23,"D K Masonry and Concrete, LLC",BOAZ,KY,42027,PADUCAH BK & TR CO,KY,5,4,Y,"$100,000.00 ","$50,000.00 "
2014-04-24,"Penny Platt, L.L.C.",CHALMETTE,LA,70043,JPMORGAN CHASE BANK NATL ASSOC,IL,84,7,N,"$43,100.00 ","$21,550.00 "
2014-04-28,OPENING MOMENTS MEDIA LLC,PHOENIX,AZ,85016,U.S. BANK NATIONAL ASSOCIATION,OH,84,1,Y,"$23,000.00 ","$11,500.00 "
2014-05-05,"Holmes Property Investments, L",Magnolia,TX,77354,WELLS FARGO BANK NATL ASSOC,SD,300,35,N,"$637,200.00 ","$477,900.00 "
2014-05-06,"Toasted Frog Fargo, LLC",FARGO,ND,58105,BANK FORWARD,ND,60,0,N,"$150,000.00 ","$75,000.00 "
2014-05-12,P And P Trucking LLC,Lake Park,FL,33403,BANK OF AMERICA NATL ASSOC,NC,48,5,N,"$45,000.00 ","$22,500.00 "
2014-05-13,"FulfillmentWorks, L.L.C.",ORANGE,CT,6477,CITIZENS BANK NATL ASSOC,RI,120,32,N,"$200,000.00 ","$100,000.00 "
2014-05-16,Mountain View Physical Therapy,Ferndale,WA,98248,PEOPLES BANK,WA,72,3,Y,"$50,000.00 ","$25,000.00 "
2014-05-22,BARRAGH INC.,NEW YORK,NY,10001,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,N,"$66,000.00 ","$33,000.00 "
2014-05-23,JJ DISTRIBUTORS LLC,LOUISVILLE,KY,40213,JPMORGAN CHASE BANK NATL ASSOC,IL,84,5,Y,"$25,000.00 ","$12,500.00 "
2014-05-28,GLOBAL WAY INSURANCE SERVICES,NORTH HOLLYWOOD,CA,91606,"CITIBANK, N.A.",SD,36,3,Y,"$25,000.00 ","$12,500.00 "
2014-05-30,Jon D Harmon DDS,ANAHEIM,CA,92802,JPMORGAN CHASE BANK NATL ASSOC,IL,84,3,N,"$20,000.00 ","$10,000.00 "
2014-06-02,"AAKLC, LLC",HOLDEN,MO,64040,FIRST CENTRAL BANK,MO,3,10,N,"$5,000.00 ","$2,500.00 "
2014-06-05,"Onsite Contractors, LLC",Harrison,OH,45030,THE HUNTINGTON NATIONAL BANK,OH,60,0,Y,"$17,200.00 ","$8,600.00 "
2014-06-05,"Technology Resource Advisors,",Milwaukee,WI,53202,CORNERSTONE COMMUNITY BANK,WI,9,13,N,"$451,600.00 ","$338,700.00 "
2014-06-09,"Y&T Woodcraft, Inc.",APPLE CREEK,OH,44606,WAYNE SAVINGS COMMUNITY BANK,OH,84,16,N,"$133,000.00 ","$66,500.00 "
2014-06-12,MARK DEMATTIA INCORPORATED,EWA BEACH,HI,96706,CENTRAL PACIFIC BANK,HI,60,0,N,"$50,000.00 ","$25,000.00 "
2014-06-18,PURSUIT SPORTS MEDICINE LLC,PORTLAND,OR,97232,U.S. BANK NATIONAL ASSOCIATION,OH,60,1,N,"$165,000.00 ","$82,500.00 "
2014-06-19,"Face Reality, Inc., dba Face R",San Leandro,CA,94577,CITY NATIONAL BANK,CA,84,15,N,"$150,000.00 ","$75,000.00 "
2014-06-23,HARDRIVES CONSTRUCTION INC,BILLINGS,MT,59103,BANK OF BRIDGER NATL ASSOC,MT,6,30,Y,"$210,000.00 ","$157,500.00 "
2014-06-25,TEDDY JEMES TRUCKING LLC,LEBANON,MO,65536,U.S. BANK NATIONAL ASSOCIATION,OH,60,1,N,"$13,500.00 ","$6,750.00 "
